"Based on LIS, as of January 31, 2024",,,,,,,,,,,,,, Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, SNEd (Non-Graded ES) ,, Grade 7 ,, Grade 8 ,, Grade 9 ,, Grade 10 ,, SNEd (Non-Graded JHS) ,, Grade 11 ABM ,, Grade 11 HUMSS ,, Grade 11 STEM ,, Grade 11 GAS ,, Grade 11 PBM ,, Grade 11 TVL ,, Grade 11 SPORTs ,, Grade 11 ARTs & DESIGN ,, Grade 12 ABM ,, Grade 12 HUMSS ,, Grade 12 STEM ,, Grade 12 GAS ,, Grade 12 PBM ,, Grade 12 TVL ,, Grade 12 SPORTs ,, Grade 12 ARTs & DESIGN ,
,,,,,,,,,,,,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region II,Isabela,Echague South,103317,San Antonio Elementary School,"San Antonio Minit,Echague,Isabela",ISABELA,ECHAGUE,4th District,SAN ANTONIO MINIT,Public,DepED Managed,School with no Annexes,Purely ES,14,5,7,6,10,7,5,11,5,13,9,6,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,103318,San Carlos Elementary School,Purok #2,ISABELA,ECHAGUE,4th District,SAN CARLOS,Public,DepED Managed,School with no Annexes,Purely ES,11,6,8,4,11,11,11,10,7,8,15,13,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,103319,San Felipe Elementary School,Purok 04,ISABELA,ECHAGUE,4th District,SAN FELIPE,Public,DepED Managed,School with no Annexes,Purely ES,18,17,17,14,19,17,19,18,19,5,19,21,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,103320,San Juan Elementary School,"San Juan, Echague, Isabela",ISABELA,ECHAGUE,4th District,SAN JUAN,Public,DepED Managed,School with no Annexes,Purely ES,10,8,8,13,9,9,11,8,11,12,7,18,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,103321,San Manuel Elementary School,"San Manuel,Echague, Iabela",ISABELA,ECHAGUE,4th District,SAN MANUEL,Public,DepED Managed,School with no Annexes,Purely ES,7,8,8,10,8,14,15,18,9,7,10,9,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,103322,San Salvador Elementary School,-PUROK#4,ISABELA,ECHAGUE,4th District,SAN SALVADOR,Public,DepED Managed,School with no Annexes,Purely ES,2,7,2,7,10,7,6,7,2,13,11,7,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,103323,Sta. Ana Elementary School,"Maraddag Street, Santa Ana, Echague, Isabela",ISABELA,ECHAGUE,4th District,SANTA ANA,Public,DepED Managed,School with no Annexes,Purely ES,6,5,12,8,13,10,16,11,9,6,11,11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,103324,Sta. Maria Elementary School,P4,ISABELA,ECHAGUE,4th District,SANTA MARIA,Public,DepED Managed,School with no Annexes,Purely ES,13,12,14,10,16,16,13,19,15,10,17,26,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,103325,Sta.  Monica Elementary School,"Purok 2 Sta.  Monica, Echague, Isabela",ISABELA,ECHAGUE,4th District,SANTA MONICA,Public,DepED Managed,School with no Annexes,Purely ES,14,11,8,11,13,12,17,12,14,8,13,10,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,103326,Villa Fermin Elementary School,"Villa Fermin, Echague, Isabela",ISABELA,ECHAGUE,4th District,VILLA FERMIN,Public,DepED Managed,School with no Annexes,Purely ES,14,8,7,16,11,8,12,7,9,10,9,12,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,103327,Villa Victoria Elementary School,"Villa Victoria ,Echague Isabela",ISABELA,ECHAGUE,4th District,VILLA VICTORIA,Public,DepED Managed,School with no Annexes,Purely ES,4,7,7,5,1,4,2,9,2,3,5,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,155534,Garit Sur Elementary School,Purok 1,ISABELA,ECHAGUE,4th District,GARIT SUR,Public,DepED Managed,School with no Annexes,Purely ES,1,2,4,2,5,3,3,4,3,1,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,300529,Don Mariano Marcos National High School,-,ISABELA,ECHAGUE,4th District,IPIL,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,91,85,104,104,135,105,0,0,8,24,85,52,23,23,0,0,0,0,0,0,0,0,0,0,8,27,84,60,24,33,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,300566,Pangal Sur High School,Purok 2,ISABELA,ECHAGUE,4th District,PANGAL SUR,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,39,32,41,34,44,40,0,0,0,0,43,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague South,400433,Villa Fermin Multigrade School,"P-4 Villa Fermin ,Echague ,Isabela",ISABELA,ECHAGUE,4th District,VILLA FERMIN,Private,Sectarian ,School with no Annexes,Purely ES,0,0,1,0,3,1,3,1,3,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,103328,Buneg Elementary School,"ANTONIO STREET, Buneg, Echague, Isabela",ISABELA,ECHAGUE,4th District,BUNEG,Public,DepED Managed,School with no Annexes,Purely ES,8,9,5,6,7,5,6,7,3,6,14,11,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,103329,Dammang East Elementary School,"Dammang East, Echague, Isabela",ISABELA,ECHAGUE,4th District,DAMMANG EAST,Public,DepED Managed,School with no Annexes,Purely ES,16,6,15,10,18,11,13,11,14,11,13,21,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,103330,Dammang Malitao Elementary School,"Purok 7, Dammang West, Echague, Isabela",ISABELA,ECHAGUE,4th District,DAMMANG WEST,Public,DepED Managed,School with no Annexes,Purely ES,13,9,20,12,13,17,24,17,18,17,15,19,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,103331,Echague West Central School,"Provincial road, Cabugao, Echague, Isabela",ISABELA,ECHAGUE,4th District,CABUGAO (POB.),Public,DepED Managed,School with no Annexes,Purely ES,54,40,74,67,73,82,67,78,73,61,87,74,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,103332,Fugu Elementary School,"Purok 6, Angoluan,Echague,Isabela",ISABELA,ECHAGUE,4th District,ANGOLUAN,Public,DepED Managed,School with no Annexes,Purely ES,11,6,18,16,20,15,18,19,19,9,15,13,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,103333,Garit Elementary School,"Garit Norte, Echague, Isabela",ISABELA,ECHAGUE,4th District,GARIT NORTE,Public,DepED Managed,School with no Annexes,Purely ES,15,15,22,19,15,14,19,17,18,14,26,20,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,103334,Gucab Elementary School,"SAN JOSE STREET, PUROK 4, Gucab, Echague, Isabela",ISABELA,ECHAGUE,4th District,GUCAB,Public,DepED Managed,School with no Annexes,Purely ES,22,19,22,19,27,22,22,28,22,12,23,40,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,103335,Maligaya Elementary School,"Maligaya, Echague, Isabela",ISABELA,ECHAGUE,4th District,MALIGAYA,Public,DepED Managed,School with no Annexes,Purely ES,21,21,18,14,26,20,18,19,26,21,21,25,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,103336,Malitao Elementary School,"Purok 3, Malitao, Echague, Isabela",ISABELA,ECHAGUE,4th District,MALITAO,Public,DepED Managed,School with no Annexes,Purely ES,7,8,7,18,14,6,17,8,11,7,12,22,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,103337,Soyung Elementary School,"Dumaliang, Soyung, Echague, Isabela",ISABELA,ECHAGUE,4th District,SOYUNG,Public,DepED Managed,School with no Annexes,Purely ES,9,12,10,6,15,7,13,19,13,9,10,16,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,300533,Doña Magdalena Gaffud High School,"Dammang West, Echague, Isabela",ISABELA,ECHAGUE,4th District,DAMMANG WEST,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,28,47,44,53,45,62,50,0,0,0,0,42,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,0,0,30,38,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,300539,Highway Region National High School,"Barangay Road, Garit Norte, Echague, Isabela",ISABELA,ECHAGUE,4th District,GARIT NORTE,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,29,38,39,32,39,43,44,0,0,0,0,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,400430,Interactive Children Learning School,"Silauan Sur, Echague, Isabela",ISABELA,ECHAGUE,4th District,SILAUAN SUR (POB.),Private,Sectarian ,School with no Annexes,Purely ES,4,4,5,2,3,3,3,2,4,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,400431,School of St. Joseph the Worker,"St. Joseph St., Cabugao, Echague, Isabela",ISABELA,ECHAGUE,4th District,CABUGAO (POB.),Private,Sectarian ,School with no Annexes,All Offering,14,9,17,11,14,12,14,12,14,7,20,17,20,17,0,0,80,77,59,65,75,67,84,56,0,0,7,19,49,13,31,43,0,0,0,0,0,0,0,0,0,0,4,5,49,15,41,43,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,400432,"St. Dominic Human Development Center, Inc.","Dumaliang, Soyung, Echague, Isabela",ISABELA,ECHAGUE,4th District,SOYUNG,Private,Sectarian ,School with no Annexes,All Offering,4,1,10,2,5,3,3,2,0,0,7,8,3,2,0,0,7,5,15,20,10,15,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,415507,St. Joseph Vineyard Montessori School,"171 Oscariz St. Taggappan, Echague, Isabela",ISABELA,ECHAGUE,4th District,TAGGAPPAN,Private,Sectarian ,School with no Annexes,Purely ES,19,22,13,8,14,17,16,12,13,7,22,17,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Echague West,415521,"First Echague United Methodist School, Inc.","St. Joseph street, Cabugao, Echague, Isabela",ISABELA,ECHAGUE,4th District,CABUGAO (POB.),Private,Non-Sectarian ,School with no Annexes,Purely ES,13,21,21,11,14,8,15,7,6,12,14,11,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103338,Barcolan Elementary School,"Purok 2, Barcolan, Gamu, Isabela",ISABELA,GAMU,2nd District,BARCOLAN,Public,DepED Managed,School with no Annexes,Purely ES,4,11,10,8,13,13,14,14,8,5,9,10,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103339,Buenavista Elementary School,"Purok 1, Buenavista, Gamu, Isabela",ISABELA,GAMU,2nd District,BUENAVISTA,Public,DepED Managed,School with no Annexes,Purely ES,4,4,12,8,12,8,14,12,8,9,9,13,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103340,Camp Melchor F.D.C. Elementary School,"Upi, Gamu, Isabela",ISABELA,GAMU,2nd District,UPI,Public,DepED Managed,School with no Annexes,Purely ES,15,23,24,24,22,14,23,23,20,22,36,30,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103341,Dammao Elementary School,Purok 1,ISABELA,GAMU,2nd District,DAMMAO,Public,DepED Managed,School with no Annexes,Purely ES,6,8,7,5,8,6,5,18,5,8,14,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103342,Furao Elementary School,"Furao, Gamu, Isabela",ISABELA,GAMU,2nd District,FURAO,Public,DepED Managed,School with no Annexes,Purely ES,14,16,17,17,18,23,21,20,26,22,22,21,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103343,Gamu Central School,"District 2, Gamu, Isabela",ISABELA,GAMU,2nd District,DISTRICT II (POB.),Public,DepED Managed,School with no Annexes,Purely ES,30,13,34,34,44,40,42,44,32,22,59,57,40,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103344,Guibang Elementary School,"Purok 2, Guibang, Gamu, Isabela",ISABELA,GAMU,2nd District,GUIBANG,Public,DepED Managed,School with no Annexes,Purely ES,23,17,17,15,14,10,31,22,19,19,23,27,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103345,Lenzon Elementary School,"Lenzon, Gamu, Isabela",ISABELA,GAMU,2nd District,LENZON,Public,DepED Managed,School with no Annexes,Purely ES,12,10,10,11,13,16,11,5,23,15,19,15,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103346,Linglingay Elementary School,"Purok 4, Linglingay, Gamu, Isabela",ISABELA,GAMU,2nd District,LINGLINGAY,Public,DepED Managed,School with no Annexes,Purely ES,19,12,16,10,19,8,17,18,17,12,12,21,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103347,Mabini Elementary School,"Lizardo St., Mabini, Gamu, Isabela",ISABELA,GAMU,2nd District,MABINI,Public,DepED Managed,School with no Annexes,Purely ES,25,23,38,32,44,33,44,42,46,26,44,54,32,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103348,Pintor Elementary School,"Pintor, Gamu, Isabela",ISABELA,GAMU,2nd District,PINTOR,Public,DepED Managed,School with no Annexes,Purely ES,7,6,7,12,15,11,17,8,8,10,15,14,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103349,Songsong Elementary School,"Songsong, Gamu, Isabela",ISABELA,GAMU,2nd District,SONGSONG,Public,DepED Managed,School with no Annexes,Purely ES,23,12,16,17,16,11,19,17,23,18,22,15,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103350,Sta. Rosa Elementary School,"District 3, Gamu, Isabela",ISABELA,GAMU,2nd District,DISTRICT III (POB.),Public,DepED Managed,School with no Annexes,Purely ES,7,3,8,9,9,8,9,5,6,6,13,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103351,Union Elementary School,"Dela Cruz Street, Union, Gamu, Isabela",ISABELA,GAMU,2nd District,UNION,Public,DepED Managed,School with no Annexes,Purely ES,14,4,3,13,9,10,17,7,9,8,9,6,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,103352,Upi Elementary School,"Purok 2, Upi, Gamu, Isabela",ISABELA,GAMU,2nd District,UPI,Public,DepED Managed,School with no Annexes,Purely ES,22,23,25,24,30,37,36,26,33,24,36,30,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,155515,Rizal Primary School,"Purok 3, Rizal, Gamu, Isabela",ISABELA,GAMU,2nd District,RIZAL,Public,DepED Managed,School with no Annexes,Purely ES,5,3,2,3,3,0,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,300537,Gamu Agri-Fishery School,"National Highway, Linglingay, Gamu, Isabela",ISABELA,GAMU,2nd District,LINGLINGAY,Public,DepED Managed,Mother school,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,108,131,115,138,121,133,126,0,0,0,0,47,64,8,24,0,0,0,0,95,38,0,0,0,0,0,0,14,25,10,20,6,29,0,0,66,32,0,0,0,0
Region II,Isabela,Gamu,300559,Mabini National High School,"Purok 6, Mabini, Gamu, Isabela",ISABELA,GAMU,2nd District,MABINI,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,41,76,68,71,80,69,77,0,0,0,0,0,0,0,0,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,306113,Gamu Rural School Annex - Junction Upi Annex,"Junction, Upi, Gamu, Isabela",ISABELA,GAMU,2nd District,UPI,Public,DepED Managed,Annex or Extension school(s),Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,41,74,40,67,55,59,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,342078,Isabela Sports Senior High School,"Alibagu, City of Ilagan, Isabela",ISABELA,ILAGAN CITY (CAPITAL),1st District,ALIBAGU,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,0,0
Region II,Isabela,Gamu,400434,Mabini Adventist Multigrade School,"Purok 1, Mabini, Gamu, Isabela",ISABELA,GAMU,2nd District,MABINI,Private,Sectarian ,School with no Annexes,Purely ES,1,3,0,1,2,1,6,3,2,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,415564,Gamu Galilee Nursery-Kindergarten School,"District 2, Gamu, Isabela",ISABELA,GAMU,2nd District,DISTRICT II (POB.),Private,Non-Sectarian ,School with no Annexes,Purely ES,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,415579,La Dolce Vita at Bethel Christian School,"Purok 6, Hilltop, Furao, Gamu, Isabela",ISABELA,GAMU,2nd District,FURAO,Private,Sectarian ,School with no Annexes,Purely ES,6,5,5,5,9,4,5,5,1,2,6,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,415580,Mabini Christian Nurture Center,"Purok 02, Mabini, Gamu, Isabela",ISABELA,GAMU,2nd District,MABINI,Private,Sectarian ,School with no Annexes,Purely ES,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Gamu,501676,Isabela SPED Center Extension ( School for the Deaf),"Alibagu, City of Ilagan, Isabela",ISABELA,GAMU,2nd District,UPI,Public,DepED Managed,Mother school,ES and JHS,2,0,0,0,2,3,1,1,7,4,3,5,1,5,0,0,6,8,6,5,8,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103439,A.C. Ruiz Elementary School,"PUROK 03, NAPALIONG, Jones, Isabela",ISABELA,JONES,4th District,NAPALIONG,Public,DepED Managed,School with no Annexes,Purely ES,13,5,8,9,6,11,12,7,7,8,8,13,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103440,Bannawag Elementary School,"Purok 2, Bannawag, Jones, Isabela",ISABELA,JONES,4th District,BANNAWAG,Public,DepED Managed,School with no Annexes,Purely ES,4,5,7,5,3,6,7,5,2,4,5,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region II,Isabela,Jones East,103441,Bantay Primary School,"Bantay, Jones, Isabela",ISABELA,JONES,4th District,BANTAY,Public,DepED Managed,School with no Annexes,Purely ES,1,3,4,1,1,3,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
